City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hithadhoo,MV,83.48,overcast clouds,-0.6,73.08,Scoop Guest House
9,Soyo,AO,77.29,overcast clouds,-6.13,12.37,Hotel Mpampa
14,Phan Thiet,VN,76.33,moderate rain,10.93,108.1,Hotel Saigon-PT
21,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
23,Butaritari,KI,81.59,clear sky,3.07,172.79,Isles Sunset Lodge
26,Atuona,PF,78.58,clear sky,-9.8,-139.03,Villa Enata
34,Harper,LR,77.25,overcast clouds,4.38,-7.72,Screensaver
40,Itarema,BR,78.85,clear sky,-2.92,-39.92,Windvillage
42,Kapaa,US,84.2,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
48,Nanakuli,US,84.2,scattered clouds,21.39,-158.15,Camp Pālehua
56,Dourbali,TD,85.87,clear sky,11.81,15.86,
59,Belle Glade,US,78.01,heavy intensity rain,26.68,-80.67,Mid-City Trailer Park
71,Kavieng,PG,83.26,overcast clouds,-2.57,150.8,Nusa Island Retreat
73,Coahuayana,MX,86.0,scattered clouds,18.73,-103.68,Hotel Los Arcos
76,Aguililla,MX,81.36,few clouds,18.73,-102.73,
79,Puerto Ayora,EC,77.0,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
83,Jalu,LY,82.08,clear sky,29.03,21.55,Jalu Hotel
84,Canutama,BR,84.69,very heavy rain,-6.53,-64.38,Hotel Jhennifer
87,Faanui,PF,79.21,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
89,Sinnamary,GF,80.62,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
92,Porteirinha,BR,84.65,overcast clouds,-15.74,-43.03,Portal Palace Hotel
103,Hambantota,LK,77.0,scattered clouds,6.12,81.12,Bungalow 63
104,Saint George,US,82.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
108,Biak,ID,77.4,moderate rain,-0.91,122.88,Kost Ariz
113,Nouadhibou,MR,80.6,clear sky,20.93,-17.03,El Medina
114,Padang,ID,77.27,light rain,-0.95,100.35,Mercure Padang
116,Ouargaye,BF,86.67,overcast clouds,11.5,0.06,Auberge Belle Etoile
119,Cravo Norte,CO,83.03,overcast clouds,6.3,-70.2,Hotel El Puerto
122,Sao Filipe,CV,80.6,overcast clouds,14.9,-24.5,Tortuga B&B
123,Negombo,LK,80.6,broken clouds,7.21,79.84,Hotel Sunset Beach
126,Celestun,MX,83.26,clear sky,20.87,-90.4,Posada Lilia
130,Guerrero Negro,MX,82.89,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
132,Nabire,ID,76.98,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
133,Maceio,BR,77.0,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
135,Bonthe,SL,78.78,light rain,7.53,-12.51,Bonthe Holiday Village
136,Massakory,TD,86.72,clear sky,13.0,15.73,
137,San Juan,AR,89.46,scattered clouds,-31.54,-68.54,Hotel Provincial
151,Samarai,PG,78.93,light rain,-10.62,150.67,Nuli Sapi
152,Lugus,PH,81.39,light rain,5.7,120.82,
159,Victoria,HK,75.0,broken clouds,22.29,114.16,Mini Hotel Central
160,Mayumba,GA,76.75,overcast clouds,-3.43,10.66,LIKWALE LODGE
161,Black River,JM,88.0,scattered clouds,18.03,-77.85,Idlers' Rest Beach Hotel
165,Puerto Colombia,CO,87.8,few clouds,10.99,-74.95,Hotel El Emigrante
168,Umm Lajj,SA,83.91,clear sky,25.02,37.27,Moon light Furnished Units
173,La Primavera,CO,84.09,heavy intensity rain,5.49,-70.41,La Riviera Hotel Colonial
176,Gopalpur,IN,79.43,scattered clouds,19.27,84.92,Swosti Palm Resort
