City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hithadhoo,MV,-0.6,73.08,83.48,74,92,21.52,overcast clouds
1,Codrington,AU,-38.27,141.97,55.76,91,100,12.1,overcast clouds
2,Yellowknife,CA,62.46,-114.35,26.6,79,75,21.92,light snow
3,Tuktoyaktuk,CA,69.45,-133.04,21.2,92,90,23.04,light snow
4,Ancud,CL,-41.87,-73.82,62.6,63,55,6.93,broken clouds
5,San Ramon,US,37.78,-121.98,93.0,9,1,12.75,clear sky
6,Pietarsaari,FI,63.65,22.68,45.0,100,39,6.93,scattered clouds
7,Patacamaya,BO,-17.23,-67.92,50.81,59,98,8.55,light rain
8,Lebu,CL,-37.62,-73.65,55.4,84,5,6.04,clear sky
9,Soyo,AO,-6.13,12.37,77.29,83,97,7.83,overcast clouds
10,New Norfolk,AU,-42.78,147.06,45.0,64,100,1.36,moderate rain
11,Fort Nelson,CA,58.81,-122.7,23.0,73,75,8.05,broken clouds
12,Albany,US,42.6,-73.97,48.0,83,100,5.1,moderate rain
13,Nizhniy Ingash,RU,56.2,96.53,30.65,95,100,5.55,overcast clouds
14,Phan Thiet,VN,10.93,108.1,76.33,91,100,9.78,moderate rain
15,Nadym,RU,65.53,72.52,35.15,98,100,10.56,light rain
16,Culpeper,US,38.5,-77.97,55.99,54,90,4.7,overcast clouds
17,Norman Wells,CA,65.28,-126.83,19.4,79,90,16.11,light shower snow
18,Elizabeth City,US,36.29,-76.25,60.8,87,90,14.99,mist
19,Abu Samrah,SY,35.3,37.18,62.02,81,0,5.48,clear sky
20,Souillac,MU,-20.52,57.52,69.8,88,75,8.39,light intensity shower rain
21,Avarua,CK,-21.21,-159.78,77.0,57,49,13.87,scattered clouds
22,Mar Del Plata,AR,-38.0,-57.56,66.99,93,90,12.75,fog
23,Butaritari,KI,3.07,172.79,81.59,76,0,14.61,clear sky
24,Rio Grande,BR,-32.03,-52.1,61.77,86,47,15.39,scattered clouds
25,Vaini,TO,-21.2,-175.2,73.4,94,90,12.75,light intensity shower rain
26,Atuona,PF,-9.8,-139.03,78.58,74,0,18.19,clear sky
27,Ryotsu,JP,38.08,138.43,55.4,87,75,6.93,moderate rain
28,Upernavik,GL,72.79,-56.15,38.03,73,100,8.88,overcast clouds
29,Punta Arenas,CL,-53.15,-70.92,41.0,86,75,12.75,broken clouds
30,Rikitea,PF,-23.12,-134.97,73.8,80,99,20.15,overcast clouds
31,Khatanga,RU,71.97,102.5,-1.44,89,0,5.14,clear sky
32,Mataura,NZ,-46.19,168.86,48.99,71,57,5.99,broken clouds
33,Lata,PT,40.16,-8.33,55.99,74,65,1.01,broken clouds
34,Harper,LR,4.38,-7.72,77.25,86,97,6.17,overcast clouds
35,Ushuaia,AR,-54.8,-68.3,44.6,56,40,20.8,scattered clouds
36,Sisimiut,GL,66.94,-53.67,41.81,84,100,15.05,light rain
37,Chuy,UY,-33.7,-53.46,58.93,87,6,11.95,clear sky
38,Egvekinot,RU,66.32,-179.17,33.33,99,77,8.34,light rain
39,Mao,ES,39.89,4.27,55.4,71,20,6.93,few clouds
40,Itarema,BR,-2.92,-39.92,78.85,80,1,14.43,clear sky
41,Barrow,US,71.29,-156.79,17.6,67,1,24.16,clear sky
42,Kapaa,US,22.08,-159.32,84.2,74,40,12.75,scattered clouds
43,Fureidis,IL,32.6,34.96,68.0,80,0,2.77,clear sky
44,Yantal,RU,56.85,105.25,25.7,94,100,8.14,overcast clouds
45,Raudeberg,NO,61.99,5.14,46.99,92,81,8.86,broken clouds
46,Saint Anthony,US,45.02,-93.22,44.01,38,40,16.11,scattered clouds
47,Jamestown,US,42.1,-79.24,46.99,42,1,11.41,clear sky
48,Nanakuli,US,21.39,-158.15,84.2,70,40,9.17,scattered clouds
49,Kerman,IR,30.28,57.08,41.0,18,0,1.34,clear sky
50,Bouar,CF,5.93,15.6,65.59,97,46,3.31,light rain
51,Spornoye,RU,50.84,37.29,51.8,81,75,6.71,broken clouds
52,Karasburg,NA,-28.02,18.75,70.0,23,42,5.93,scattered clouds
53,Bredasdorp,ZA,-34.53,20.04,57.2,93,28,3.36,scattered clouds
54,Kupang,ID,-10.17,123.58,69.8,94,20,2.24,few clouds
55,Vestmannaeyjar,IS,63.44,-20.27,45.36,72,0,11.92,clear sky
56,Dourbali,TD,11.81,15.86,85.87,43,6,4.85,clear sky
57,Thompson,CA,55.74,-97.86,30.2,80,75,13.87,light shower snow
58,Mahebourg,MU,-20.41,57.7,69.8,88,75,8.5,light intensity shower rain
59,Belle Glade,US,26.68,-80.67,78.01,88,100,1.01,heavy intensity rain
60,Sakaiminato,JP,35.55,133.23,55.4,93,90,3.36,light rain
61,Bluff,NZ,-46.6,168.33,48.99,71,44,5.99,scattered clouds
