City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mahebourg,MU,2020-10-12 20:42:37,-20.41,57.7,71.6,88,20,5.82
1,Bethel,US,2020-10-12 20:50:17,41.37,-73.41,53.6,71,90,17.22
2,Albany,US,2020-10-12 20:52:32,42.6,-73.97,55.99,55,97,7.45
3,Ushuaia,AR,2020-10-12 20:52:32,-54.8,-68.3,44.6,70,75,5.82
4,Yulara,AU,2020-10-12 20:42:40,-25.24,130.99,62.6,29,0,5.82
5,Dingle,PH,2020-10-12 20:43:06,11.0,122.67,75.96,87,100,3.38
6,Bredasdorp,ZA,2020-10-12 20:52:33,-34.53,20.04,59.0,82,37,14.99
7,Hobart,AU,2020-10-12 20:48:11,-42.88,147.33,48.2,61,20,8.05
8,Beloha,MG,2020-10-12 20:42:54,-25.17,45.05,65.59,80,71,8.59
9,Almeirim,BR,2020-10-12 20:52:33,-1.52,-52.58,88.5,47,76,3.44
10,Ereymentau,KZ,2020-10-12 20:52:33,51.62,73.1,46.09,83,96,8.34
11,Clyde River,CA,2020-10-12 20:52:33,70.47,-68.59,32.0,97,90,6.93
12,Rikitea,PF,2020-10-12 20:52:33,-23.12,-134.97,74.16,76,15,15.82
13,Aitape,PG,2020-10-12 20:52:33,-3.14,142.35,79.27,84,100,4.54
14,Khonsa,IN,2020-10-12 20:52:34,27.02,95.57,65.64,93,18,4.29
15,Vardo,NO,2020-10-12 20:51:55,70.37,31.11,41.0,86,75,8.05
16,Talnakh,RU,2020-10-12 20:42:48,69.49,88.4,28.4,92,40,20.13
17,Masvingo,ZW,2020-10-12 20:52:34,-20.06,30.83,59.76,89,100,8.46
18,Watertown,US,2020-10-12 20:50:06,42.37,-71.18,55.0,66,90,14.99
19,Corpus Christi,US,2020-10-12 20:52:28,27.8,-97.4,89.01,66,1,14.99
20,Touros,BR,2020-10-12 20:50:48,-5.2,-35.46,80.6,74,40,8.05
